127.0.0.1 - netbeans [22/Aug/2017:10:26:19 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:26:19 -0400] "GET /manager/text/list HTTP/1.1" 200 786
127.0.0.1 - - [22/Aug/2017:10:26:19 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:26:19 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:26:36 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:26:36 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:26:36 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:26:36 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:26:36 -0400] "GET /manager/text/list HTTP/1.1" 200 786
127.0.0.1 - netbeans [22/Aug/2017:10:26:37 -0400] "GET /manager/text/undeploy?path=/FactorizorJSPServlet HTTP/1.1" 200 78
127.0.0.1 - - [22/Aug/2017:10:26:48 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:26:48 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:26:48 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:26:48 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:26:48 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:26:48 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:26:48 -0400] "GET /manager/text/list HTTP/1.1" 200 590
127.0.0.1 - - [22/Aug/2017:10:26:48 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:26:48 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:26:48 -0400] "GET /manager/text/list HTTP/1.1" 200 590
127.0.0.1 - netbeans [22/Aug/2017:10:26:48 -0400] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FN0200797%2FAppData%2FLocal%2FTemp%2Fcontext2924191032246254033.xml&path=/FactorizorJSPServlet HTTP/1.1" 200 76
127.0.0.1 - netbeans [22/Aug/2017:10:26:48 -0400] "GET /manager/text/start?path=/FactorizorJSPServlet HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:26:49 -0400] "GET /FactorizorJSPServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:26:49 -0400] "GET /FactorizorJSPServlet/ HTTP/1.1" 200 490
127.0.0.1 - - [22/Aug/2017:10:27:07 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:27:07 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:27:07 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:27:07 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:27:07 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:27:07 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:27:07 -0400] "GET /manager/text/list HTTP/1.1" 200 786
127.0.0.1 - - [22/Aug/2017:10:27:07 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:27:07 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:27:16 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:27:16 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:27:16 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:27:16 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:27:16 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:27:16 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:27:16 -0400] "GET /manager/text/list HTTP/1.1" 200 786
127.0.0.1 - - [22/Aug/2017:10:27:16 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:27:16 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:27:16 -0400] "GET /manager/text/list HTTP/1.1" 200 786
127.0.0.1 - netbeans [22/Aug/2017:10:27:17 -0400] "GET /manager/text/undeploy?path=/LuckySevens HTTP/1.1" 200 69
127.0.0.1 - netbeans [22/Aug/2017:10:27:17 -0400] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FN0200797%2FAppData%2FLocal%2FTemp%2Fcontext4247172234507476005.xml&path=/LuckySevens HTTP/1.1" 200 67
127.0.0.1 - netbeans [22/Aug/2017:10:27:17 -0400] "GET /manager/text/start?path=/LuckySevens HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:27:17 -0400] "GET /LuckySevens HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:27:17 -0400] "GET /LuckySevens/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:27:24 -0400] "POST /LuckySevens/LuckySevensServlet HTTP/1.1" 404 1048
127.0.0.1 - - [22/Aug/2017:10:27:48 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:27:48 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:27:48 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:27:48 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:27:49 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:27:49 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:27:49 -0400] "GET /manager/text/list HTTP/1.1" 200 786
127.0.0.1 - - [22/Aug/2017:10:27:49 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:27:49 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:28:52 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:28:52 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:28:52 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:28:52 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:28:52 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:28:52 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:28:52 -0400] "GET /manager/text/list HTTP/1.1" 200 786
127.0.0.1 - netbeans [22/Aug/2017:10:28:52 -0400] "GET /manager/text/reload?path=/LuckySevens HTTP/1.1" 200 67
127.0.0.1 - - [22/Aug/2017:10:28:52 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:28:52 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:28:59 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:28:59 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:28:59 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:28:59 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:28:59 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:28:59 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:28:59 -0400] "GET /manager/text/list HTTP/1.1" 200 786
127.0.0.1 - - [22/Aug/2017:10:28:59 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:28:59 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:29:21 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:29:21 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:29:21 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:29:21 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:29:21 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:29:21 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:29:21 -0400] "GET /manager/text/list HTTP/1.1" 200 786
127.0.0.1 - - [22/Aug/2017:10:29:21 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:29:21 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:29:30 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:29:30 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:29:30 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:29:30 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:29:30 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:29:30 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:29:30 -0400] "GET /manager/text/list HTTP/1.1" 200 786
127.0.0.1 - - [22/Aug/2017:10:29:30 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:29:30 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:29:49 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:29:49 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:29:49 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:29:49 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:29:49 -0400] "GET /manager/text/list HTTP/1.1" 200 786
127.0.0.1 - netbeans [22/Aug/2017:10:29:50 -0400] "GET /manager/text/undeploy?path=/LuckySevens HTTP/1.1" 200 69
127.0.0.1 - - [22/Aug/2017:10:29:52 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:29:52 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:29:52 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:29:52 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:29:52 -0400] "GET /manager/text/list HTTP/1.1" 200 617
127.0.0.1 - - [22/Aug/2017:10:30:05 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
